num_candidates,feature
3303,STARTS_WITH_CAPITAL
3200,LENGTH_0
2948,NER_SEQ_[O]
2798,W_RIGHT_NER_1_[O]
2672,POS_SEQ_[NN]
2478,W_LEFT_NER_1_[O]
2283,W_LEFT_NER_2_[O O]
2134,W_NER_L_1_R_1_[O]_[O]
2053,W_RIGHT_NER_2_[O O]
2003,W_NER_L_2_R_1_[O O]_[O]
1998,W_LEFT_NER_3_[O O O]
1764,W_NER_L_3_R_1_[O O O]_[O]
1711,W_RIGHT_NER_3_[O O O]
1704,W_NER_L_1_R_2_[O]_[O O]
1627,W_NER_L_2_R_2_[O O]_[O O]
1500,W_NER_L_3_R_2_[O O O]_[O O]
1485,W_NER_L_1_R_3_[O]_[O O O]
1418,W_NER_L_2_R_3_[O O]_[O O O]
1321,W_NER_L_3_R_3_[O O O]_[O O O]
622,"W_RIGHT_1_[,]"
531,POS_SEQ_[NNP]
490,W_LEFT_NER_1_[NUMBER]
423,W_LEFT_NER_2_[O NUMBER]
340,W_RIGHT_NER_1_[NUMBER]
324,W_LEFT_NER_3_[O O NUMBER]
303,W_NER_L_1_R_1_[NUMBER]_[O]
271,W_NER_L_2_R_1_[O NUMBER]_[O]
264,W_RIGHT_NER_2_[O NUMBER]
260,W_LEFT_NER_1_[PERSON]
258,W_LEFT_1_[the]
254,NER_SEQ_[ORGANIZATION]
249,W_RIGHT_NER_2_[NUMBER O]
249,W_LEFT_NER_2_[O PERSON]
240,"W_LEFT_1_[,]"
224,W_NER_L_1_R_1_[PERSON]_[O]
222,W_NER_L_1_R_2_[NUMBER]_[O O]
215,W_NER_L_2_R_1_[O PERSON]_[O]
212,W_RIGHT_NER_2_[O PERSON]
207,W_LEFT_1_[(]
202,W_NER_L_2_R_2_[O NUMBER]_[O O]
197,W_NER_L_3_R_1_[O O NUMBER]_[O]
192,W_NER_L_1_R_2_[O]_[O NUMBER]
192,W_RIGHT_1_[)]
191,W_NER_L_1_R_1_[O]_[NUMBER]
178,W_LEFT_NER_3_[NUMBER O O]
176,W_RIGHT_NER_3_[O NUMBER O]
173,LENGTH_1
172,W_RIGHT_NER_3_[NUMBER O O]
168,W_NER_L_3_R_2_[O O NUMBER]_[O O]
162,W_NER_L_2_R_2_[O O]_[O NUMBER]
156,W_NER_L_2_R_1_[O O]_[NUMBER]
154,W_LEMMA_L_1_R_1_[(]_[)]
154,W_NER_L_1_R_2_[O]_[NUMBER O]
153,W_LEFT_1_[and]
151,W_RIGHT_NER_3_[O PERSON O]
147,W_LEFT_NER_3_[O O PERSON]
144,W_RIGHT_1_[and]
144,W_LEFT_1_[|]
141,W_NER_L_1_R_3_[O]_[O NUMBER O]
141,W_NER_L_3_R_1_[NUMBER O O]_[O]
135,W_NER_L_3_R_1_[O O PERSON]_[O]
132,W_LEFT_1_[of]
130,W_RIGHT_NER_3_[O O NUMBER]
126,W_NER_L_1_R_1_[NUMBER]_[NUMBER]
124,W_NER_L_3_R_1_[O O O]_[NUMBER]
124,W_NER_L_2_R_2_[O O]_[NUMBER O]
121,W_RIGHT_1_[;]
121,W_NER_L_2_R_3_[O O]_[O NUMBER O]
120,W_LEFT_1_[_NUMBER]
120,W_LEFT_NER_2_[NUMBER O]
119,W_NER_L_1_R_3_[NUMBER]_[O O O]
118,W_NER_L_1_R_2_[PERSON]_[O PERSON]
116,W_NER_L_2_R_2_[O PERSON]_[O PERSON]
114,W_LEFT_NER_1_[ORGANIZATION]
113,W_NER_L_3_R_2_[O O O]_[O NUMBER]
113,W_RIGHT_1_[.]
112,W_LEFT_1_[.]
111,W_RIGHT_1_[be]
111,W_LEFT_NER_2_[O ORGANIZATION]
110,W_NER_L_1_R_1_[ORGANIZATION]_[O]
110,W_NER_L_2_R_1_[O ORGANIZATION]_[O]
108,W_NER_L_2_R_3_[O NUMBER]_[O O O]
107,W_NER_L_1_R_3_[O]_[NUMBER O O]
104,W_RIGHT_1_[_NUMBER]
102,W_NER_L_3_R_2_[O O O]_[NUMBER O]
99,W_NER_L_1_R_3_[O]_[O O NUMBER]
96,W_NER_L_2_R_3_[O O]_[NUMBER O O]
96,W_NER_L_2_R_1_[O NUMBER]_[NUMBER]
93,W_NER_L_2_R_3_[O O]_[O O NUMBER]
91,W_LEFT_NER_3_[O NUMBER O]
90,W_NER_L_2_R_1_[NUMBER O]_[O]
89,W_NER_L_3_R_3_[O O NUMBER]_[O O O]
89,W_NER_L_1_R_2_[NUMBER]_[NUMBER O]
88,W_RIGHT_2_[; _NUMBER]
87,W_NER_L_3_R_3_[O O O]_[O NUMBER O]
86,W_NER_L_1_R_3_[PERSON]_[O PERSON O]
86,W_LEMMA_L_1_R_1_[|]_[;]
85,W_LEFT_NER_3_[NUMBER O NUMBER]
85,W_NER_L_1_R_2_[PERSON]_[O O]
84,W_NER_L_2_R_3_[O PERSON]_[O PERSON O]
